,Content ID,User ID,Reaction Type,Datetime,Content Type
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,5d454588-283d-459d-915d-c48a2cb4c27f,disgust,07-11-2020 09:43,photo
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,92b87fa5-f271-43e0-af66-84fac21052e6,dislike,17-06-2021 12:22,photo
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,163daa38-8b77-48c9-9af6-37a6c1447ac2,scared,18-04-2021 05:13,photo
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,34e8add9-0206-47fd-a501-037b994650a2,disgust,06-01-2021 19:13,photo
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,9b6d35f9-5e15-4cd0-a8d7-b1f3340e02c4,interested,23-08-2020 12:25,photo
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,7918d465-0953-4f20-9e28-539e74c82e2f,peeking,07-12-2020 06:27,photo
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,fa3e42f0-71d8-455f-b024-e52d5c27a145,cherish,11-04-2021 17:35,photo
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,b0c22f82-b882-4394-bf27-6dfadf26e5c2,hate,27-01-2021 08:32,photo
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,1932a904-86ba-4438-bb52-b7e6516a4019,peeking,01-04-2021 22:54,photo
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,f50ac030-3af8-4e07-aacf-dccff353b8f6,indifferent,07-11-2020 08:36,photo
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,b09e3125-2162-443b-bea0-25895b7605bc,scared,02-11-2020 06:28,photo
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,b143cd2b-20b1-4e9c-9bb7-cfb359b33d01,interested,01-11-2020 01:16,photo
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,48e834aa-fd4a-4206-93e8-ac8fdac613bc,hate,07-10-2020 18:39,photo
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,7246fed1-8725-4dbb-bccd-5451346f122d,scared,03-09-2020 18:51,photo
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,9664d628-9163-4aae-94e0-311f3bdb2f11,super love,24-02-2021 05:09,photo
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,2dd186bb-7a28-4e80-99c7-f1936afc7b49,peeking,23-09-2020 06:24,photo
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,f4ed8f9c-5eac-4d77-a206-c60afda2921a,indifferent,24-02-2021 11:37,photo
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,5d454588-283d-459d-915d-c48a2cb4c27f,interested,22-05-2021 19:44,photo
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,35d6a1f3-e358-4d4b-8074-05f3b7f35c2a,peeking,20-11-2020 17:26,photo
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,c64c5004-6ab5-4faa-9fcd-8039fe57799d,worried,11-04-2021 20:47,photo
